location,lat,lon
"Restaurante La Majjareta Montequinto, C. Calígula, Nº54, 41089 Dos Hermanas, Sevilla, España",37.2829,-5.9209
"Mamma Pronto, C. Presidente Rivadavia, 2, 11001 Cádiz, España",36.5298,-6.2947
"Restaurante-Arrocería La Pepa, P.º Marítimo, 14, Local, 11010 Cadiz",36.5298,-6.2947
"L'Antica Trattoria, Pensamiento, 25, 28020 MADRID",40.4165,-3.7026
"Polideportivo Municipal Dehesa Boyal, Av. de Navarrondán, s/n, 28702 San Sebastián de los Reyes, Madrid, España",40.5691965,-3.6333695
"AMAZONIA ACAI ALCOBENDAS, P.º de la Chopera, 122, 28100 Alcobendas, Madrid, España",40.5475,-3.642
"HERSAMOTOR, La granja 29, 28108, Alcobendas",40.5475,-3.642
"C. Ventura Rodríguez, 4, 33004 Oviedo, Asturias, España",43.363737,-5.8535868
"Calle de María de Molina, 26, Salamanca, 28006 Madrid, España",40.4375746,-3.6848021
"Heladeria Véneta, C. del Carmen, 15, Centro, 28013 Madrid, España",40.4165,-3.7026
"Lalina Bravas y Tapas Chueca - gluten free -, Calle de Gravina, 18, Madrid, MD, 28004, ES",,
"Horreo, 7, 15702 Santiago de Compostela, España",42.876376,-8.5437527
"Rúa Corredoira da Barca Nº5, 15900 Padrón, España",42.7388,-8.6606
"21 Rúa Joan Fuentes Echevarría , 36650 Caldas de Reis, España",42.6299,-8.627
"Fisionova, Rúa Condesa de Pardo Bazán, 3, Bajo, 36002 Pontevedra, España",42.431,-8.6444
"Avenida Santa María, 36002 Pontevedra, España",42.3914926,-8.7015591
"Pai Crespo, 55 , 36800 Redondela, España",42.2796517,-8.6102611
"Alojamiento Camino Portugues, O Porriño",42.1626458,-8.6256927
"Jacob's Hostel Tui, R. Bispo Lago, núm. 5, 36700 Tui, Pontevedra, España",41.9844,-8.7434
"Parque cidade porto, Av. do Parque 595, 4100-376 Porto, Portugal",41.15,-8.6167
"R. do Morgado de Mateus 47, 4000-301 Porto, Portugal",41.1470842,-8.6002519
"El Bosque Encantado, No poner GPS, estamos entre las dos rotondas de, Siga las flechas de Jardín Botánico, Camino Marañones, 217, 28680 San Martín de Valdeiglesias, Madrid, España",40.1586,-3.8693
"El Escorial, 28280 El Escorial, Madrid, España",40.5861927,-4.1318587
"Valle de Cuelgamuros, Carretera de Guadarrama/El Escorial, 28209 San Lorenzo de El Escorial, Madrid, España",40.59144,-4.14738
"Pizza Natura saludable y sin gluten, Calle de Jovellanos, 6, Madrid, MD, 28014, ES",,
"Café Berlín, C, Cost.ª de los Ángeles, 20, Centro, 28013 Madrid, España",40.4165,-3.7026
"Restaurante Nicontrigonisinti, Calle de María Blanchard, 12, San Sebastián de los Reyes, MD, 28702, ES",,
"CAPYBARA GASTRO BAR, 28100 Alcobendas, Madrid, P.º de Valdelasfuentes, 10, 28100 Alcobendas",40.54746,-3.64197
"C. Fernández y González, 4, 41001 Sevilla",37.3877411,-5.9946801
"C. Rábida, 44, 41500 Alcalá de Guadaíra, Sevilla, España",37.3281354,-5.855995
"Cine Yelmo Ideal, Calle del Dr Cortezo, 6, Centro, 28012 Madrid, España",40.4165,-3.7026
"Calle Dr. Juan Bravo, 29, Fuencarral-El Pardo, 28034 Madrid, España",40.4931632,-3.6880132
"Plaza de la Constitución, Pl. de la Constitución, 28607 El Álamo, Madrid, España",40.2307,-3.9945
"CLINICA IMPROVE, C. del Alto, s/n, 28108 Alcobendas, Madrid, España",40.5475,-3.642
"Replay Outlet boardgame Cafe, C/ de la Ribera de Curtidores, 26, Local 3, Centro, 28005 Madrid, España",,
"Naked & Sated Serrano, C. de Serrano, 110, 112, Salamanca, 28006 Madrid, España",40.4165,-3.7026
"Polideportivo Municipal Eduardo López Mateo, Av. de Aragón, 2, 28701 San Sebastián de los Reyes, Madrid, España",40.5443,-3.6159
"Avenida de Guadarrama, Av. de Guadarrama, 9, 28701 San Sebastián de los Reyes, Madrid, España",40.5443,-3.6159
"Museo del Ferrocarril de Madrid, Paseo de las Delicias, 61, Arganzuela, 28045 Madrid, España",40.3993218,-3.6921489
"C. de Ruperto Chapí, 30, 28100 Alcobendas, Madrid, España",40.5479059,-3.6447354
"CINESA PRINCIPE PÍO · ISENSE, Estación Príncipe Pío, C. de Mozart, 2, Moncloa - Aravaca, 28008 Madrid, España",,
"La Manon Boulangerie & Bistro, C. de Sagasta, 5, Chamberí, 28004 Madrid, España",40.4165,-3.7026
"Lima 11 Restaurante, C. de María Panés, 13, Chamberí, 28003 Madrid, España",40.4165,-3.7026
"Av. de España, 52, 28100 Alcobendas, Madrid, España",40.5441981,-3.6437163
"Restaurante El Porron de Navacerrada, Pl. del Gargantón, 7, 28491 Navacerrada, Madrid, España",40.4353,-3.6495
"Palacio Santa Bárbara, C/ de Hortaleza, 87, Centro, 28004 Madrid, España",40.4263119,-3.697119
"Lalina Bravas y Tapas Chueca - gluten free -, C. de Gravina, 18, Centro, 28004 Madrid, España",,
"IFEMA Madrid, Av. del Partenón, 5, Barajas, 28042 Madrid, España",40.4165,-3.7026
"Blac Enjoy, Av. de Adolfo Suárez, 48, 41704 Dos Hermanas, Sevilla, España",37.2829,-5.9209
"Alimentari, C. Bartolomé de Medina, 21, Izq, 41004 Sevilla, España",37.3824,-5.9761
"Pabellón de Convenciones, Avenida de Portugal, s/n, (Casa de Campo), 28011 Madrid, España",40.4165,-3.7026
"Teatro Calderón, C. de Atocha, 18, 28012 Madrid, España",40.4165,-3.7026
"Uni Ramen, C. del Príncipe, 15, 28012 Madrid, España",40.4165,-3.7026
"Plaza Colón, Pl. de Colón, 28004 Madrid, España",40.4695541,-3.8712354
"chök - Goya (Gluten Free), Calle de Goya, 49, 28001 Madrid, España",40.4165,-3.7026
"Registro Civil de San Sebastián de los Reyes, C. de Agustín y Antonia, 5, 28703 San Sebastián de los Reyes, Madrid, España",40.5443,-3.6159
"Pizza Natura saludable y sin gluten, Pizza natura, C. de Jovellanos, 6, 28014 Madrid, España",,
"Hospital Universitario Fundación Jiménez Díaz, Av. de los Reyes Católicos, 2, 28040 Madrid, España",,
"Ciudad Deportiva Municipal El Val, Av. Virgen del Val, 4, 28804 Alcalá de Henares, Madrid, España",40.482,-3.36
"ITV Colmenar Viejo Applus, C. de la Perfumería, 1, 28770 Colmenar Viejo, Madrid, España",40.6591,-3.7676
"Midtown, Paseo de la Habana, 11 28036 Madrid",40.4165,-3.7026
"SUMO Fusión Restaurante, Calle Gran Vía, 1, Madrid, MD, 28013, ES",,
"Auditorio Miguel Ríos, P.º Alicia Alonso, s/n, 28521 Rivas-Vaciamadrid, Madrid, España",40.3453753,-3.5135022
"Detenderete, C. de Sta. Cruz de Marcenado, 13, 28015 Madrid, España",40.4165,-3.7026
"Pl. Mayor, 1, 16001 Cuenca, España",40.3022161,-2.2852241
"Bar La Negrilla, C. de Londres, 54, 28850 Torrejón de Ardoz, Madrid, España",40.4554,-3.4697
"Parque Europa, 28850 Torrejón de Ardoz, Madrid, España",40.4420653,-3.45745
"Pl. Mayor, 3, 28012 Madrid, España",40.4727179,-3.8724692
"Zest Recoletos, C. de Recoletos, 10, 28001 Madrid, España",40.4165,-3.7026
"Museo Arqueológico Nacional, C. de Serrano, 13, 28001 Madrid, España",40.4234289,-3.6888894
"Lilo Brunch Specialty Coffee, C. de la Libertad, 3, 28004 Madrid, España",40.23284,-3.9873
"C. del Padre Jesús Ordóñez, 12, 28002 Madrid, España",40.4411867,-3.6773945
"Margarito, C. de Velázquez, 31, 28001 Madrid, España",40.4165,-3.7026
"Naked & Sated, Calle de París, 1, Pozuelo de Alarcón, MD, ES, 28224",,
"Calle París, 1 Pozuelo",40.4338794,-3.8086224
"Educarte, Cam. de las Huertas, 9, 28223 Pozuelo de Alarcón, Madrid, España",40.4329,-3.8134
"Flax & Kale, Carrer dels Tallers, 74b, 08001 Barcelona, España",41.3888,2.159
"Museo Erótico de Barcelona, La Rambla, 96 bis, 96 bis, 08002 Barcelona, España",,
"Moco Museum Barcelona, Carrer de Montcada, 25, 08003 Barcelona, España",41.3847271,2.1815639
"Gula Sana, C/ de la Diputació, 361, 08009 Barcelona, España",41.3888,2.159
"Manioca - Ciutadella (Sin Gluten), 08005, C/ de Sardenya, 56, 08005 Barcelona, España",41.3888,2.159
"Basílica de la Sagrada Familia, Carrer de Mallorca, 401, Barcelona, Barcelona, ES, 08013",41.4035046,2.1744283
"M2 Gluten Free, Avenida Diagonal, Barcelona, España",,
"Restaurant Gut, Carrer del Perill, 13, 08012 Barcelona, España",41.3888,2.159
"Plaza de Garriga y Bachs, Plaça de Garriga i Bachs, 08002 Barcelona, España",,
"Hotel America Barcelona, Barcelona",41.3918486,2.1573697
"Teatro Circo Price, Rda. de Atocha, 35, 28012 Madrid, España",40.4165,-3.7026
"El Duende centro Hipico, Diseminado los Frutales, 81, 28530 Morata de Tajuña, Madrid, España",40.2268,-3.4327
"Sala La Riviera, P.º Bajo de la Virgen del Puerto, S/N, 28005 Madrid, España",40.4129547,-3.7221336
"Postigo 10, C. Almirantazgo, 10, 41001 Sevilla, España",37.383151,-5.9959443
"C/ Palestina 8 (con paseo de Valdelasfuentes), 28100 Alcobendas",40.5475,-3.642
"Six Board Game Cafe, Av. de la Ciudad de Barcelona, 180, 28007 Madrid, España",40.4016448,-3.675932
"Centro Comercial Moda Shopping, Av. del General Perón, 38-40, 28020 Madrid, España",40.42526,-3.69063
"Madrid Grill - Sin Gluten - Gluten Free, C. de San Martín, 3, 28013 Madrid, España",42.28333,-8.75
"C. Leonardo da Vinci, 7, 41092 Sevilla, España",37.4031079,-6.007757
"Cala Cortina, 30202 Cartagena, Murcia, España",37.5821948,-0.9750933
"ALBEDRÍO, C. Villamartín, 5, 30201 Cartagena, Murcia, España",37.6014005,-0.9874744
